user_id,reel_id,age,region,device,primary_interest,secondary_interest_1,secondary_interest_2,creator_affinity,avg_session_minutes,category,creator_popularity,audio_trendiness,avg_watch_length,production_quality,engagement_probability,engaged,watch_time_seconds
0,269,30,EMEA,Android,Music,Comedy,Dance,0.6087017194162632,19.148596081920687,Music,0.9417293496420058,0.8288303977062718,43.68150899860942,0.4305242610782215,0.7282393890959155,1,33.521510855553224
0,109,30,EMEA,Android,Music,Comedy,Dance,0.6087017194162632,19.148596081920687,Music,0.7284118680077093,0.6781202751162917,27.926014476250934,0.9646817950099686,0.6526954567476938,1,17.970205987291713
0,5,30,EMEA,Android,Music,Comedy,Dance,0.6087017194162632,19.148596081920687,Music,0.3515458270237748,0.8378963874736283,34.31213977767501,0.9061627260451266,0.641591678151195,0,20.74897601695519
0,33,30,EMEA,Android,Music,Comedy,Dance,0.6087017194162632,19.148596081920687,Dance,0.4321907362952051,0.6404059445708932,22.167826990283064,0.7034888575937901,0.6354981916445898,1,14.245789694358015
0,211,30,EMEA,Android,Music,Comedy,Dance,0.6087017194162632,19.148596081920687,Comedy,0.7468319322501578,0.5129805697871687,31.11918180600238,0.4658296470842326,0.5910251917382932,0,18.057491811539737
0,180,30,EMEA,Android,Music,Comedy,Dance,0.6087017194162632,19.148596081920687,Dance,0.6996278605796042,0.5103535021723034,42.282893152022645,0.5817572320788367,0.5779212400312038,1,23.696260078535342
0,96,30,EMEA,Android,Music,Comedy,Dance,0.6087017194162632,19.148596081920687,Dance,0.42164743304201113,0.6322684755644317,34.798320667257265,0.5198747601786553,0.5766667179175575,1,16.782597930906547
0,24,30,EMEA,Android,Music,Comedy,Dance,0.6087017194162632,19.148596081920687,Comedy,0.5316296254965407,0.6808053807855032,32.05838620972975,0.5756563553648788,0.564822414780152,1,18.808553053180027
0,295,30,EMEA,Android,Music,Comedy,Dance,0.6087017194162632,19.148596081920687,Comedy,0.20671612343839804,0.5852358062433645,22.22849238989504,0.4716880885782885,0.5540669257459897,1,10.82689963144704
0,195,30,EMEA,Android,Music,Comedy,Dance,0.6087017194162632,19.148596081920687,Dance,0.5210596735339518,0.38048477094178024,30.29807478739546,0.5732460571927875,0.5389868690869601,0,16.18073186101356
